sdo,rw_pol_id
-0.90534,0.1272
0.0089,0.1272
1.18436,0.1272
-0.90534,0.1272
-0.1217,0.1272
-0.90534,0.1272
-0.1217,0.1272
-0.38291,0.1272
-0.38291,0.1272
-0.38291,0.1272
-0.38291,-0.18632
-0.90534,-0.18632
0.92315,-0.18632
-0.25231,-0.18632
-0.90534,-0.18632
-0.90534,-0.18632
1.44557,-0.18632
0.53133,-0.18632
-0.38291,-0.18632
-0.38291,-0.18632
-0.90534,-0.18632
0.27012,-0.18632
0.79254,-0.18632
-0.64412,-0.18632
-0.90534,-0.18632
-0.90534,-0.18632
-0.90534,-0.18632
0.13951,-0.18632
-0.90534,-0.18632
-0.38291,0.44072
-0.64412,0.44072
-0.1217,0.44072
-0.51352,0.44072
0.66193,0.44072
1.57618,0.44072
-0.1217,0.44072
-0.90534,0.44072
0.66193,0.44072
-0.25231,0.44072
0.92315,0.44072
0.0089,0.44072
2.35981,0.44072
-0.90534,0.44072
-0.64412,0.44072
1.44557,0.44072
-0.90534,0.44072
0.0089,0.44072
-0.90534,0.44072
0.40072,0.44072
-0.90534,0.44072
-0.51352,0.44072
0.0089,0.44072
2.0986,0.44072
0.66193,0.44072
-0.1217,0.44072
3.01284,0.44072
-0.90534,0.44072
-0.90534,0.44072
1.44557,0.44072
-0.38291,0.44072
-0.90534,0.44072
0.92315,0.44072
1.05375,0.44072
-0.1217,-0.49984
0.0089,-0.49984
1.44557,-0.49984
0.40072,-0.49984
-0.38291,-0.49984
-0.51352,-0.49984
1.57618,0.75424
-0.90534,0.75424
0.79254,0.75424
1.05375,0.75424
1.96799,0.75424
-0.64412,0.75424
0.66193,0.75424
-0.51352,-0.81336
-0.90534,-0.81336
-0.90534,-0.81336
1.44557,-0.81336
-0.90534,-0.81336
0.79254,-0.81336
-0.90534,-0.81336
-0.77473,-0.81336
-0.90534,-0.81336
0.79254,-0.81336
0.0089,-0.81336
-0.90534,-0.81336
-0.90534,-0.81336
-0.90534,-0.81336
-0.51352,-0.81336
0.27012,-0.81336
-0.90534,-0.81336
-0.90534,-0.81336
0.13951,1.06776
-0.77473,1.06776
-0.77473,1.06776
0.40072,1.06776
0.13951,1.06776
1.31496,1.06776
2.2292,1.06776
0.40072,1.06776
-0.90534,1.06776
0.66193,1.06776
-0.25231,1.06776
1.44557,1.06776
-0.90534,1.06776
0.53133,1.06776
1.57618,1.06776
0.27012,1.06776
1.83739,1.06776
-0.77473,1.06776
-0.90534,1.06776
2.88223,1.06776
-0.1217,1.06776
-0.1217,1.06776
-0.77473,-1.12688
0.0089,-1.12688
-0.90534,-1.12688
-0.90534,-1.12688
0.13951,-1.12688
-0.90534,-1.12688
-0.90534,-1.12688
-0.1217,-1.12688
-0.77473,-1.12688
-0.90534,-1.12688
-0.90534,-1.12688
0.0089,1.38128
-0.51352,1.38128
1.18436,1.38128
0.40072,1.38128
0.66193,1.38128
1.44557,1.38128
0.66193,1.38128
1.96799,1.38128
0.40072,1.38128
0.66193,1.38128
-0.51352,-1.4404
-0.77473,-1.4404
-0.90534,-1.4404
-0.90534,-1.4404
-0.1217,-1.4404
-0.90534,-1.4404
-0.38291,-1.4404
-0.64412,-1.4404
-0.38291,-1.4404
-0.64412,-1.4404
-0.90534,-1.4404
-0.90534,-1.4404
-0.1217,-1.4404
0.92315,-1.4404
-0.90534,-1.4404
-0.90534,-1.4404
-0.90534,-1.4404
-0.77473,-1.4404
-0.1217,-1.4404
-0.90534,-1.4404
-0.1217,-1.4404
1.05375,-1.4404
-0.90534,-1.4404
-0.90534,-1.4404
-0.90534,-1.4404
-0.64412,-1.4404
-0.90534,-1.4404
-0.90534,-1.4404
-0.64412,-1.4404
1.05375,1.6948
3.53526,1.6948
0.27012,1.6948
1.44557,1.6948
3.79647,1.6948
-0.1217,1.6948
1.18436,1.6948
0.66193,2.32183
1.44557,2.32183
