"","season","team","player1","player2","player3","player4","player5"
"1",2016,"1st","DeAndre Jordan","Kawhi Leonard","LeBron James","Stephen Curry","Russell Westbrook"
"2",2016,"2nd","DeMarcus Cousins","Kevin Durant","Draymond Green","Damian Lillard","Chris Paul"
"3",2016,"3rd","Andre Drummond","Paul George","LaMarcus Aldridge","Kyle Lowry","Klay Thompson"
"5",2015,"1st","Marc Gasol","LeBron James","Anthony Davis","Stephen Curry","James Harden"
"6",2015,"2nd","DeMarcus Cousins","Pau Gasol","LaMarcus Aldridge","Chris Paul","Russell Westbrook"
"7",2015,"3rd","DeAndre Jordan","Blake Griffin","Tim Duncan","Klay Thompson","Kyrie Irving"
"9",2014,"1st","Joakim Noah","Kevin Durant","LeBron James","James Harden","Chris Paul"
"10",2014,"2nd","Dwight Howard","Blake Griffin","Kevin Love","Tony Parker","Stephen Curry"
"11",2014,"3rd","Al Jefferson","LaMarcus Aldridge","Paul George","Goran Dragic","Damian Lillard"
"13",2013,"1st","Tim Duncan","Kevin Durant","LeBron James","Chris Paul","Kobe Bryant"
"14",2013,"2nd","Marc Gasol","Carmelo Anthony","Blake Griffin","Russell Westbrook","Tony Parker"
"15",2013,"3rd","Dwight Howard","Paul George","David Lee","Dwyane Wade","James Harden"
"17",2012,"1st","Dwight Howard","LeBron James","Kevin Durant","Kobe Bryant","Chris Paul"
"18",2012,"2nd","Andrew Bynum","Blake Griffin","Kevin Love","Russell Westbrook","Tony Parker"
"19",2012,"3rd","Tyson Chandler","Carmelo Anthony","Dirk Nowitzki","Dwyane Wade","Rajon Rondo"
"21",2011,"1st","Dwight Howard","Kevin Durant","LeBron James","Kobe Bryant","Derrick Rose"
"22",2011,"2nd","Amar'e Stoudemire","Dirk Nowitzki","Pau Gasol","Dwyane Wade","Russell Westbrook"
"23",2011,"3rd","Al Horford","Zach Randolph","LaMarcus Aldridge","Manu Ginobili","Chris Paul"
"25",2010,"1st","Dwight Howard","Kevin Durant","LeBron James","Dwyane Wade","Kobe Bryant"
"26",2010,"2nd","Amar'e Stoudemire","Dirk Nowitzki","Carmelo Anthony","Steve Nash","Deron Williams"
"27",2010,"3rd","Andrew Bogut","Tim Duncan","Pau Gasol","Joe Johnson","Brandon Roy"
"29",2009,"1st","Dwight Howard","LeBron James","Dirk Nowitzki","Dwyane Wade","Kobe Bryant"
"30",2009,"2nd","Yao Ming","Paul Pierce","Tim Duncan","Chris Paul","Brandon Roy"
"31",2009,"3rd","Shaquille O'Neal","Pau Gasol","Carmelo Anthony","Chauncey Billups","Tony Parker"
"33",2008,"1st","Dwight Howard","LeBron James","Kevin Garnett","Chris Paul","Kobe Bryant"
"34",2008,"2nd","Amar'e Stoudemire","Tim Duncan","Dirk Nowitzki","Deron Williams","Steve Nash"
"35",2008,"3rd","Yao Ming","Carlos Boozer","Paul Pierce","Manu Ginobili","Tracy McGrady"
"37",2007,"1st","Amar'e Stoudemire","Dirk Nowitzki","Tim Duncan","Steve Nash","Kobe Bryant"
"38",2007,"2nd","Yao Ming","Chris Bosh","LeBron James","Tracy McGrady","Gilbert Arenas"
"39",2007,"3rd","Dwight Howard","Kevin Garnett","Carmelo Anthony","Chauncey Billups","Dwyane Wade"
"41",2006,"1st","Shaquille O'Neal","LeBron James","Dirk Nowitzki","Steve Nash","Kobe Bryant"
"42",2006,"2nd","Ben Wallace","Tim Duncan","Elton Brand","Dwyane Wade","Chauncey Billups"
"43",2006,"3rd","Yao Ming","Carmelo Anthony","Shawn Marion","Allen Iverson","Gilbert Arenas"
"45",2005,"1st","Shaquille O'Neal","Dirk Nowitzki","Tim Duncan","Steve Nash","Allen Iverson"
"46",2005,"2nd","Amar'e Stoudemire","LeBron James","Kevin Garnett","Dwyane Wade","Ray Allen"
"47",2005,"3rd","Ben Wallace","Tracy McGrady","Shawn Marion","Kobe Bryant","Gilbert Arenas"
"49",2004,"1st","Shaquille O'Neal","Tim Duncan","Kevin Garnett","Kobe Bryant","Jason Kidd"
"50",2004,"2nd","Ben Wallace","Jermaine O'Neal","Peja Stojakovic","Tracy McGrady","Sam Cassell"
"51",2004,"3rd","Yao Ming","Dirk Nowitzki","Metta World","Baron Davis","Michael Redd"
"53",2003,"1st","Shaquille O'Neal","Kevin Garnett","Tim Duncan","Tracy McGrady","Kobe Bryant"
"54",2003,"2nd","Ben Wallace","Dirk Nowitzki","Chris Webber","Jason Kidd","Allen Iverson"
"55",2003,"3rd","Jermaine O'Neal","Paul Pierce","Jamal Mashburn","Steve Nash","Stephon Marbury"
"57",2002,"1st","Shaquille O'Neal","Tracy McGrady","Tim Duncan","Kobe Bryant","Jason Kidd"
"58",2002,"2nd","Dirk Nowitzki","Chris Webber","Kevin Garnett","Gary Payton","Allen Iverson"
"59",2002,"3rd","Dikembe Mutombo","Ben Wallace","Jermaine O'Neal","Paul Pierce","Steve Nash"
"61",2001,"1st","Shaquille O'Neal","Tim Duncan","Chris Webber","Allen Iverson","Jason Kidd"
"62",2001,"2nd","Dikembe Mutombo","Vince Carter","Kevin Garnett","Kobe Bryant","Tracy McGrady"
"63",2001,"3rd","David Robinson","Dirk Nowitzki","Karl Malone","Gary Payton","Ray Allen"
"65",2000,"1st","Shaquille O'Neal","Tim Duncan","Kevin Garnett","Gary Payton","Jason Kidd"
"66",2000,"2nd","Alonzo Mourning","Grant Hill","Karl Malone","Allen Iverson","Kobe Bryant"
"67",2000,"3rd","David Robinson","Chris Webber","Vince Carter","Stephon Marbury","Eddie Jones"
"69",1999,"1st","Alonzo Mourning","Tim Duncan","Karl Malone","Jason Kidd","Allen Iverson"
"70",1999,"2nd","Shaquille O'Neal","Chris Webber","Grant Hill","Tim Hardaway","Gary Payton"
"71",1999,"3rd","Hakeem Olajuwon","Antonio McDyess","Kevin Garnett","John Stockton","Kobe Bryant"
"73",1998,"1st","Shaquille O'Neal","Tim Duncan","Karl Malone","Gary Payton","Michael Jordan"
"74",1998,"2nd","David Robinson","Vin Baker","Grant Hill","Rod Strickland","Tim Hardaway"
"75",1998,"3rd","Dikembe Mutombo","Glen Rice","Scottie Pippen","Reggie Miller","Mitch Richmond"
"77",1997,"1st","Hakeem Olajuwon","Karl Malone","Grant Hill","Tim Hardaway","Michael Jordan"
"78",1997,"2nd","Patrick Ewing","Scottie Pippen","Glen Rice","Mitch Richmond","Gary Payton"
"79",1997,"3rd","Shaquille O'Neal","Vin Baker","Anthony Mason","Anfernee Hardaway","John Stockton"
"81",1996,"1st","David Robinson","Scottie Pippen","Karl Malone","Michael Jordan","Anfernee Hardaway"
"82",1996,"2nd","Hakeem Olajuwon","Shawn Kemp","Grant Hill","John Stockton","Gary Payton"
"83",1996,"3rd","Shaquille O'Neal","Charles Barkley","Juwan Howard","Mitch Richmond","Reggie Miller"
"85",1995,"1st","David Robinson","Scottie Pippen","Karl Malone","John Stockton","Anfernee Hardaway"
"86",1995,"2nd","Shaquille O'Neal","Shawn Kemp","Charles Barkley","Mitch Richmond","Gary Payton"
"87",1995,"3rd","Hakeem Olajuwon","Detlef Schrempf","Dennis Rodman","Clyde Drexler","Reggie Miller"
"89",1994,"1st","Hakeem Olajuwon","Karl Malone","Scottie Pippen","Latrell Sprewell","John Stockton"
"90",1994,"2nd","David Robinson","Charles Barkley","Shawn Kemp","Kevin Johnson","Mitch Richmond"
"91",1994,"3rd","Shaquille O'Neal","Derrick Coleman","Dominique Wilkins","Mark Price","Gary Payton"
"93",1993,"1st","Hakeem Olajuwon","Karl Malone","Charles Barkley","Michael Jordan","Mark Price"
"94",1993,"2nd","Patrick Ewing","Larry Johnson","Dominique Wilkins","Joe Dumars","John Stockton"
"95",1993,"3rd","David Robinson","Scottie Pippen","Derrick Coleman","Drazen Petrovic","Tim Hardaway"
"97",1992,"1st","David Robinson","Chris Mullin","Karl Malone","Clyde Drexler","Michael Jordan"
"98",1992,"2nd","Patrick Ewing","Scottie Pippen","Charles Barkley","John Stockton","Tim Hardaway"
"99",1992,"3rd","Brad Daugherty","Dennis Rodman","Kevin Willis","Kevin Johnson","Mark Price"
"101",1991,"1st","David Robinson","Charles Barkley","Karl Malone","Magic Johnson","Michael Jordan"
"102",1991,"2nd","Patrick Ewing","Dominique Wilkins","Chris Mullin","Clyde Drexler","Kevin Johnson"
"103",1991,"3rd","Hakeem Olajuwon","James Worthy","Bernard King","John Stockton","Joe Dumars"
"105",1990,"1st","Patrick Ewing","Karl Malone","Charles Barkley","Michael Jordan","Magic Johnson"
"106",1990,"2nd","Hakeem Olajuwon","Larry Bird","Tom Chambers","John Stockton","Kevin Johnson"
"107",1990,"3rd","David Robinson","James Worthy","Chris Mullin","Clyde Drexler","Joe Dumars"
"109",1989,"1st","Hakeem Olajuwon","Charles Barkley","Karl Malone","Michael Jordan","Magic Johnson"
"110",1989,"2nd","Patrick Ewing","Chris Mullin","Tom Chambers","John Stockton","Kevin Johnson"
"111",1989,"3rd","Robert Parish","Terry Cummings","Dominique Wilkins","Dale Ellis","Mark Price"
