"","year","beta0","beta1"
"1",1989,109.001151162559,-1.04399845800611
"2",1990,108.979248003663,-1.09276540462871
"3",1991,108.957344844767,-1.14153235125132
"4",1992,108.935441685871,-1.19029929787392
"5",1993,108.913538526976,-1.23906624449652
"6",1994,108.89163536808,-1.28783319111912
"7",1995,108.869732209184,-1.33660013774173
"8",1996,108.847829050288,-1.38536708436433
"9",1997,108.825925891392,-1.43413403098693
"10",1998,108.804022732497,-1.48290097760954
"11",1999,108.782119573601,-1.53166792423214
"12",2000,108.760216414705,-1.58043487085474
"13",2001,108.738313255809,-1.62920181747734
"14",2002,108.716410096913,-1.67796876409995
"15",2003,108.694506938018,-1.72673571072255
"16",2004,108.672603779122,-1.77550265734515
"17",2005,108.650700620226,-1.82426960396776
"18",2006,108.62879746133,-1.87303655059036
"19",2007,108.606894302434,-1.92180349721296
"20",2008,108.584991143539,-1.97057044383556
"21",2009,108.563087984643,-2.01933739045817
"22",2010,108.541184825747,-2.06810433708077
"23",2011,108.519281666851,-2.11687128370337
"24",2012,108.497378507955,-2.16563823032598
"25",2013,108.47547534906,-2.21440517694858
"26",2014,108.453572190164,-2.26317212357118
"27",2015,108.431669031268,-2.31193907019378
"28",2016,108.409765872372,-2.36070601681639
