score_away,score_home,team_away,team_home,win_prob_away,win_prob_home
108,85,Warriors,Cavaliers,56,44
110,102,Warriors,Cavaliers,53,47
103,122,Cavaliers,Warriors,24,76
114,124,Cavaliers,Warriors,24,76
101,92,Warriors,Rockets,35,65
87,79,Cavaliers,Celtics,42,58
86,115,Rockets,Warriors,44,56
99,109,Celtics,Cavaliers,33,67
94,98,Warriors,Rockets,31,69
83,96,Cavaliers,Celtics,43,57
95,92,Rockets,Warriors,41,59
102,111,Celtics,Cavaliers,32,68
85,126,Rockets,Warriors,49,51
86,116,Celtics,Cavaliers,36,64
105,127,Warriors,Rockets,29,71
94,107,Cavaliers,Celtics,40,60
119,106,Warriors,Rockets,22,78
83,108,Cavaliers,Celtics,44,56
112,114,76ers,Celtics,44,56
102,112,Jazz,Rockets,21,79
104,113,Pelicans,Warriors,27,73
92,103,Celtics,76ers,32,68
93,128,Raptors,Cavaliers,37,63
118,92,Warriors,Pelicans,41,59
100,87,Rockets,Jazz,47,53
101,98,Celtics,76ers,30,70
103,105,Raptors,Cavaliers,37,63
100,119,Warriors,Pelicans,45,55
113,92,Rockets,Jazz,42,58
128,110,Cavaliers,Raptors,29,71
103,108,76ers,Celtics,47,53
116,108,Jazz,Rockets,24,76
113,112,Cavaliers,Raptors,28,72
116,121,Pelicans,Warriors,31,69
101,117,76ers,Celtics,51,49
101,105,Pacers,Cavaliers,35,65
96,110,Jazz,Rockets,25,75
96,112,Bucks,Celtics,32,68
101,123,Pelicans,Warriors,32,68
102,92,Raptors,Wizards,57,43
87,121,Cavaliers,Pacers,43,57
91,96,Thunder,Jazz,28,72
86,97,Celtics,Bucks,45,55
95,98,Pacers,Cavaliers,31,69
98,108,Wizards,Raptors,21,79
104,122,Timberwolves,Rockets,16,84
99,107,Jazz,Thunder,42,58
87,92,Bucks,Celtics,30,70
91,104,Heat,76ers,18,82
91,99,Spurs,Warriors,30,70
119,100,Rockets,Timberwolves,61,39
96,113,Thunder,Jazz,28,72
102,104,Celtics,Bucks,45,55
90,103,Warriors,Spurs,47,53
98,106,Raptors,Wizards,60,40
104,100,Cavaliers,Pacers,40,60
106,102,76ers,Heat,60,40
123,131,Trail Blazers,Pelicans,32,68
105,121,Rockets,Timberwolves,66,34
102,115,Thunder,Jazz,30,70
90,92,Cavaliers,Pacers,41,59
103,122,Raptors,Wizards,66,34
92,116,Celtics,Bucks,50,50
128,108,76ers,Heat,56,44
102,119,Trail Blazers,Pelicans,34,66
110,97,Warriors,Spurs,42,58
97,100,Pacers,Cavaliers,33,67
102,95,Jazz,Thunder,35,65
82,102,Timberwolves,Rockets,15,85
119,130,Wizards,Raptors,15,85
106,120,Bucks,Celtics,26,74
111,102,Pelicans,Trail Blazers,37,63
113,103,Heat,76ers,17,83
101,116,Spurs,Warriors,33,67
107,113,Bucks,Celtics,27,73
98,80,Pacers,Cavaliers,26,74
108,116,Jazz,Thunder,35,65
101,104,Timberwolves,Rockets,15,85
92,113,Spurs,Warriors,35,65
106,114,Wizards,Raptors,16,84
103,130,Heat,76ers,18,82
97,95,Pelicans,Trail Blazers,33,67
